cruise,type::cruise,datatype::cruise,xml:lang::cruise,cruise_id,type::cruise_id,datatype::cruise_id,xml:lang::cruise_id,doi,type::doi,datatype::doi,xml:lang::doi
http://data.rvdata.us/id/cruise/KOK0313,uri,,,KOK0313,literal,,,10.7284/904260,literal,,
http://data.rvdata.us/id/cruise/KOK0401,uri,,,KOK0401,literal,,,10.7284/907078,literal,,
http://data.rvdata.us/id/cruise/KOK0403,uri,,,KOK0403,literal,,,10.7284/904261,literal,,
http://data.rvdata.us/id/cruise/KOK0404,uri,,,KOK0404,literal,,,10.7284/904262,literal,,
http://data.rvdata.us/id/cruise/KOK0407,uri,,,KOK0407,literal,,,10.7284/904263,literal,,
http://data.rvdata.us/id/cruise/KOK0408,uri,,,KOK0408,literal,,,10.7284/904264,literal,,
http://data.rvdata.us/id/cruise/KOK0411,uri,,,KOK0411,literal,,,10.7284/904265,literal,,
http://data.rvdata.us/id/cruise/KOK0415,uri,,,KOK0415,literal,,,10.7284/904266,literal,,
http://data.rvdata.us/id/cruise/KOK0422,uri,,,KOK0422,literal,,,10.7284/904267,literal,,
http://data.rvdata.us/id/cruise/KOK0425,uri,,,KOK0425,literal,,,10.7284/904306,literal,,
http://data.rvdata.us/id/cruise/KOK0428,uri,,,KOK0428,literal,,,10.7284/904307,literal,,
http://data.rvdata.us/id/cruise/KOK0435,uri,,,KOK0435,literal,,,10.7284/904308,literal,,
http://data.rvdata.us/id/cruise/KOK0514,uri,,,KOK0514,literal,,,10.7284/904309,literal,,
http://data.rvdata.us/id/cruise/KOK0518,uri,,,KOK0518,literal,,,10.7284/904310,literal,,
http://data.rvdata.us/id/cruise/KOK0608,uri,,,KOK0608,literal,,,10.7284/904311,literal,,
http://data.rvdata.us/id/cruise/KOK0704,uri,,,KOK0704,literal,,,10.7284/904312,literal,,
http://data.rvdata.us/id/cruise/KOK0706,uri,,,KOK0706,literal,,,10.7284/904313,literal,,
http://data.rvdata.us/id/cruise/KOK0713,uri,,,KOK0713,literal,,,10.7284/904314,literal,,
http://data.rvdata.us/id/cruise/KOK0909,uri,,,KOK0909,literal,,,10.7284/904277,literal,,
http://data.rvdata.us/id/cruise/KOK0916,uri,,,KOK0916,literal,,,10.7284/904278,literal,,
http://data.rvdata.us/id/cruise/KOK0917,uri,,,KOK0917,literal,,,10.7284/904279,literal,,
http://data.rvdata.us/id/cruise/KOK0920,uri,,,KOK0920,literal,,,10.7284/904280,literal,,
http://data.rvdata.us/id/cruise/KOK1004,uri,,,KOK1004,literal,,,10.7284/904281,literal,,
http://data.rvdata.us/id/cruise/KOK1005,uri,,,KOK1005,literal,,,10.7284/904290,literal,,
http://data.rvdata.us/id/cruise/KOK1007,uri,,,KOK1007,literal,,,10.7284/900846,literal,,
http://data.rvdata.us/id/cruise/KOK1011,uri,,,KOK1011,literal,,,10.7284/904282,literal,,
http://data.rvdata.us/id/cruise/KOK1013,uri,,,KOK1013,literal,,,10.7284/904317,literal,,
http://data.rvdata.us/id/cruise/KOK1107,uri,,,KOK1107,literal,,,10.7284/904318,literal,,
http://data.rvdata.us/id/cruise/KOK1113,uri,,,KOK1113,literal,,,10.7284/903324,literal,,
http://data.rvdata.us/id/cruise/KOK1114,uri,,,KOK1114,literal,,,10.7284/904154,literal,,
http://data.rvdata.us/id/cruise/KOK1201,uri,,,KOK1201,literal,,,10.7284/904191,literal,,
http://data.rvdata.us/id/cruise/KOK1202,uri,,,KOK1202,literal,,,10.7284/904319,literal,,
http://data.rvdata.us/id/cruise/KOK1205,uri,,,KOK1205,literal,,,10.7284/904268,literal,,
